,Genome,Contig,Nitrogenase Set,Position,Location,Group No,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,PredGrowthTemp
1979,GB_GCA_024762585.1,JANTHE010000024.1,HDK,"10,7,8",5120-6025,Group 1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__JACXUG01;s__JACXUG01 sp024762585,China: Taiwan;Kueishan Island,hydrothermal vent sediment,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;x__unclassified Sulfuricurvum;s__Sulfuricurvum sp.,JACXUG01 sp024762585,,
1980,GB_GCA_024762875.1,JANTGR010000093.1,HDK,"2,4,5",730-1635,Group 1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__QNZT01;g__JANTGR01;s__JANTGR01 sp024762875,China: Taiwan;Kueishan Island,hydrothermal vent sediment,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;x__unclassified Sulfurospirillum;s__Sulfurospirillum sp.,JANTGR01 sp024762875,,
1981,GB_GCA_024763035.1,JANTGG010000051.1,HDK,"10,13,14",12102-12932,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__Desulfocapsa sp024763035,China: Taiwan;Kueishan Island,hydrothermal vent sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;x__unclassified Desulfocapsa;s__Desulfocapsa sp.,Desulfocapsa sp024763035,,
1982,GB_GCA_024763055.1,JANTGH010000040.1,HDK,"15,16,19",8575-9948,,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__DRLX01;s__DRLX01 sp024763055,China: Taiwan;Kueishan Island,hydrothermal vent sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;x__unclassified Desulfobulbaceae;s__Desulfobulbaceae bacterium,DRLX01 sp024763055,,
1983,GB_GCA_024763115.1,JANTGB010000026.1,HDK,"5,8,9",5878-6708,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__JANTFJ01;s__JANTFJ01 sp024763115,China: Taiwan;Kueishan Island,hydrothermal vent sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;x__unclassified Desulfobulbaceae;s__Desulfobulbaceae bacterium,JANTFJ01 sp024763115,,
1984,GB_GCA_024763175.1,JANTGA010000031.1,HDK,"2,4,5",2046-2951,Group 1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__SZUA-451;s__SZUA-451 sp024763175,China: Taiwan;Kueishan Island,hydrothermal vent sediment,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;x__unclassified Sulfurovum;s__Sulfurovum sp.,SZUA-451 sp024763175,,
1985,GB_GCA_024763575.1,JANTFF010000001.1,HDK,"16,18,19",13128-14042,Group 1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__UBA1140;s__UBA1140 sp024763575,China: Taiwan;Kueishan Island,hydrothermal vent sediment,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;x__unclassified Sulfurovum;s__Sulfurovum sp.,UBA1140 sp024763575,,
1986,GB_GCA_024972775.1,CP092282.1,HDDKE,"597,598,599,602,603",633479-634333,Group 1,d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Dehalobacter;s__Dehalobacter sp024972775,China:Shenyang,river sediment,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Dehalobacter;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Dehalobacter;x__unclassified Dehalobacter;s__Dehalobacter sp. DCM,Dehalobacter sp024972775,,
1987,GB_GCA_025054735.1,JANWZG010000088.1,HDKEN,"3,4,5,7,8",2065-2961,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__SKYG9;f__SKYG9;g__SKYG9;s__SKYG9 sp025054735,Malaysia: Sungkai; Perak,green biofilm from alkaline hot spring,d__Bacteria;p__Cyanobacteriota;c__;o__;f__;g__;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;x__unclassified Cyanobacteriota;s__Cyanobacteriota bacterium,SKYG9 sp025054735,,
1988,GB_GCA_025055675.1,JANWWT010000006.1,HDKEN,"40,41,42,44,45",37874-38767,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudanabaenales;f__Pseudanabaenaceae;g__M5B4;s__M5B4 sp025055675,Malaysia: Sungkai; Perak,green biofilm from alkaline hot spring,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Pseudanabaenaceae;g__;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Pseudanabaenaceae;x__unclassified Pseudanabaenaceae;s__Pseudanabaenaceae cyanobacterium SKYG29,M5B4 sp025055675,,
1989,GB_GCA_025056115.1,JANWVM010000010.1,HDKEN,"10,11,12,13,9",5178-6572,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Gloeomargaritales;f__Gloeomargaritaceae;g__Gloeomargarita;s__Gloeomargarita sp025056115,Malaysia: Sungkai; Perak,green biofilm from alkaline hot spring,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Gloeomargaritales;f__Gloeomargaritaceae;g__Gloeomargarita;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Gloeomargaritales;f__Gloeomargaritaceae;g__Gloeomargarita;x__unclassified Gloeomargarita;s__Gloeomargarita sp. SKYG116,Gloeomargarita sp025056115,,
1990,GB_GCA_025057155.1,JANWYD010000017.1,HDK,"10,12,9",8953-10380,,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__JACAEO01;s__JACAEO01 sp025057155,Malaysia: Sungkai; Perak,green biofilm from alkaline hot spring,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;x__Chloroflexineae;f__Chloroflexaceae;x__unclassified Chloroflexaceae;s__Chloroflexaceae bacterium,JACAEO01 sp025057155,,
1991,GB_GCA_025062155.1,JANXAM010000015.1,HDDKNN,"13,17,18,19,20,21",8952-10379,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Gloeomargaritales;f__Gloeomargaritaceae;g__Gloeomargarita;s__Gloeomargarita sp025062155,Malaysia: Sungkai; Perak,brown biofilm from alkaline hot spring,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Gloeomargaritales;f__Gloeomargaritaceae;g__Gloeomargarita;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Gloeomargaritales;f__Gloeomargaritaceae;g__Gloeomargarita;x__unclassified Gloeomargarita;s__Gloeomargarita sp. SKYB120,Gloeomargarita sp025062155,,
1992,GB_GCA_025062325.1,JANXAL010000009.1,HDK,"14,15,17",12894-14321,,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__Roseiflexus sp025062325,Malaysia: Sungkai; Perak,brown biofilm from alkaline hot spring,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__,d__Bacteria;x__Terrabacteria group;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;x__Roseiflexineae;f__Roseiflexaceae;g__Roseiflexus;x__unclassified Roseiflexus;s__Roseiflexus sp.,Roseiflexus sp025062325,,
1993,GB_GCA_025350045.1,JANXYM010000106.1,HDDKN,"12,13,14,15,18",10430-11809,,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__Methanoregula sp025350045,Uganda: Stanley glacier,sediment,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanomicrobiales;x__unclassified Methanomicrobiales;s__Methanomicrobiales archaeon,Methanoregula sp025350045,,
1994,GB_GCA_025355875.1,JANXYV010000130.1,HDDKN,"10,4,7,8,9",9524-10969,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__UBA6024;s__UBA6024 sp025355875,Uganda: Stanley glacier,sediment,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;x__unclassified Prolixibacteraceae;s__Prolixibacteraceae bacterium,UBA6024 sp025355875,,
1995,GB_GCA_025355965.1,JANXYR010000082.1,HDKE,"79,88,89,90",86222-88981,,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;g__JACRCG01;s__JACRCG01 sp025355965,Uganda: Stanley glacier,sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;x__unclassified Geobacteraceae;s__Geobacteraceae bacterium,JACRCG01 sp025355965,,
1996,GB_GCA_025356035.1,JANXYN010000089.1,HDKE,"29,30,31,39",34001-34870,Group 1,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__JANXYN01;s__JANXYN01 sp025356035,Uganda: Stanley glacier,sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;x__unclassified Geobacteraceae;s__Geobacteraceae bacterium,JANXYN01 sp025356035,,
1997,GB_GCA_025360845.1,JANYBJ010000085.1,HDKKE,"19,20,21,22,25",19427-20779,,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__RFP12;f__UBA1067;g__JAHFSX01;s__JAHFSX01 sp025360845,Uganda: Stanley glacier,sediment,d__Bacteria;p__;c__;o__;f__;g__;s__,d__Bacteria;x__unclassified Bacteria;s__bacterium,JAHFSX01 sp025360845,,
1998,GB_GCA_025361735.1,JANYKD010000055.1,HDKKNN,"54,55,56,58,59,60",61213-62508,,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__JANYKD01;s__JANYKD01 sp025361735,Uganda: Stanley glacier,sediment,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__,d__Bacteria;x__PVC group;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;x__unclassified Phycisphaerales;s__Phycisphaerales bacterium,JANYKD01 sp025361735,,
1999,GB_GCA_025454175.1,JALOOX010000002.1,HDKEN,"91,92,94,95,98",107341-108789,,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__JALOOX01;s__JALOOX01 sp025454175,USA: Prado Wetlands; Corona; CA,Wetland A3,d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;x__unclassified Syntrophobacteraceae;s__Syntrophobacteraceae bacterium,JALOOX01 sp025454175,,
2000,GB_GCA_025454375.1,JALOOO010000016.1,HDDKN,"21,22,33,34,35",13824-15131,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya sp025454375,USA: Prado Wetlands; Corona; CA,Wetland A3,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;x__unclassified Leptolyngbya;s__Leptolyngbya sp. Prado105,Leptolyngbya sp025454375,,
2001,GB_GCA_025454395.1,JALOOM010000031.1,HDDKN,"21,22,23,32,33",23717-25252,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Elainellales;f__Elainellaceae;g__Elainella;s__Elainella sp025454395,USA: Prado Wetlands; Corona; CA,Wetland A3,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Oculatellaceae;g__Elainella;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Oculatellaceae;g__Elainella;x__unclassified Elainella;s__Elainella sp. Prado103,Elainella sp025454395,,
2002,GB_GCA_025454405.1,JALOON010000032.1,HDDKN,"76,77,79,80,81",75436-76662,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Microcoleus;s__Microcoleus sp025454405,USA: Prado Wetlands; Corona; CA,Wetland A3,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__Oscillatoriaceae;g__;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Oscillatoriales;f__Oscillatoriaceae;x__unclassified Oscillatoriaceae;s__Oscillatoriaceae cyanobacterium Prado104,Microcoleus sp025454405,,
2003,GB_GCA_025454425.1,JALOOL010000022.1,HDKN,"14,15,16,20",12249-13784,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Hydrococcus;s__Hydrococcus sp025454425,USA: Prado Wetlands; Corona; CA,Wetland A3,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pleurocapsales;f__Hydrococcaceae;g__Hydrococcus;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Pleurocapsales;f__Hydrococcaceae;g__Hydrococcus;x__unclassified Hydrococcus (in: cyanobacteria);s__Hydrococcus sp. Prado102,Hydrococcus sp025454425,,
2004,GB_GCA_025454425.1,JALOOL010000051.1,HDKENN,"10,11,13,14,15,7",6954-8627,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Hydrococcus;s__Hydrococcus sp025454425,USA: Prado Wetlands; Corona; CA,Wetland A3,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pleurocapsales;f__Hydrococcaceae;g__Hydrococcus;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Pleurocapsales;f__Hydrococcaceae;g__Hydrococcus;x__unclassified Hydrococcus (in: cyanobacteria);s__Hydrococcus sp. Prado102,Hydrococcus sp025454425,,
2005,GB_GCA_025454695.1,JALONX010000261.1,HDK,"2,4,5",2496-3317,,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__JALONX01;s__JALONX01 sp025454695,USA: Prado Wetlands; Corona; CA,Wetland A3,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;x__Chloroflexineae;f__Chloroflexaceae;x__unclassified Chloroflexaceae;s__Chloroflexaceae bacterium,JALONX01 sp025454695,,
2006,GB_GCA_025458165.1,JALOTB010000014.1,HDKK,"49,52,53,54",54704-57529,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__JALOTB01;s__JALOTB01 sp025458165,USA: Prado Wetlands; Corona; CA,Wetland A3,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;x__unclassified Chromatiaceae;s__Chromatiaceae bacterium,JALOTB01 sp025458165,,
2007,GB_GCA_025464325.1,JAODGH010000033.1,HDK,"12,8,9",8188-9009,Group 2,d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Alkanophagales;f__Methanospirareceae;g__G60ANME1;s__G60ANME1 sp025464325,Atlantic Ocean: Hydrothermal vent field near the Jan Mayen Island,In situ enriched (Sulfite-pulped Spruce) hydrothermal sediments; middle chamber of perforated titanium incubators with 3 chambers deployed for one year;74 C at 20 centimeters below seafloor,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;x__unclassified Methanosarcinales;s__Methanosarcinales archaeon,G60ANME1 sp025464325,,
2008,GB_GCA_025499705.1,JAFMVE010000020.1,HDDKNN,"61,62,63,64,65,68",75847-77106,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__Carboxylicivirga;s__Carboxylicivirga sp025499705,China: Weihai,coastal sediment,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae;x__unclassified Marinilabiliaceae;s__Marinilabiliaceae bacterium A049,Carboxylicivirga sp025499705,,
2009,GB_GCA_025655595.1,JAHXIO010000006.1,HDKEN,"162,163,164,172,173",171686-172561,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha;s__Thiodiazotropha sp025655595,Australia: Moreton Bay,gill,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Candidatus Thiodiazotropha;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Candidatus Thiodiazotropha;s__Candidatus Thiodiazotropha sp. (ex Monitilora ramsayi),Thiodiazotropha sp025655595,,
2010,GB_GCA_025656775.1,JAHXHI010000261.1,HDK,"6,7,8",1952-3523,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GRL18;f__GRL18;g__GRL18;s__GRL18 sp025656775,New Zealand: Macauley Cone,gill,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;x__unclassified Gammaproteobacteria;s__gamma proteobacterium symbiont of Bathyaustriella thionipta,GRL18 sp025656775,,
2011,GB_GCA_025800345.1,JAOXSB010000238.1,HDKEN,"12,13,14,7,8",8901-10439,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JANSYP01;s__JANSYP01 sp025800345,USA: FL Keys,coral tissue,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Mangrovicoccus;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Mangrovicoccus;x__unclassified Mangrovicoccus;s__Mangrovicoccus sp.,JANSYP01 sp025800345,,
2012,GB_GCA_025996865.1,BNTV01000017.1,HDDKE,"23,24,25,26,29",19495-20922,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Azobacteroidaceae;g__WRFZ01;s__WRFZ01 sp025996865,none,gut of Reticulitermes speratus,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;x__unclassified Bacteroidia;s__Bacteroidia bacterium,WRFZ01 sp025996865,,
2013,GB_GCA_025997045.1,BNUB01000026.1,HDKEN,"17,18,19,7,8",9527-11095,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__WRNU01;s__WRNU01 sp025997045,none,gut of Reticulitermes speratus,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;x__unclassified Betaproteobacteria;s__Betaproteobacteria bacterium,WRNU01 sp025997045,,
2014,GB_GCA_025997215.1,BNUH01000008.1,HDK,"34,36,37",32105-32992,Group 4a,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__BNUH01;s__BNUH01 sp025997215,none,gut of Reticulitermes speratus,d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;x__unclassified Clostridia;s__Clostridia bacterium,BNUH01 sp025997215,,
2015,GB_GCA_025997675.1,BNUX01000006.1,HDK,"19,20,21",19474-20316,Group 2,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__Termitinema;s__Termitinema sp025997675,none,gut of Reticulitermes speratus,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__;f__;g__;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;x__unclassified Spirochaetia;s__Spirochaetia bacterium,Termitinema sp025997675,,
2016,GB_GCA_025997835.1,BNVD01000177.1,HDK,"2,3,4",722-2194,,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__BNVD01;s__BNVD01 sp025997835,none,gut of Reticulitermes speratus,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__;f__;g__;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;x__unclassified Spirochaetia;s__Spirochaetia bacterium,BNVD01 sp025997835,,
2017,GB_GCA_025997875.1,BNVE01000065.1,HDK,"14,15,16",14365-15240,Group 4a,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__BNUT01;s__BNUT01 sp025997875,none,gut of Reticulitermes speratus,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__;f__;g__;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;x__unclassified Spirochaetia;s__Spirochaetia bacterium,BNUT01 sp025997875,,
2018,GB_GCA_026000755.1,BNZC01000006.1,HDK,"25,26,31",22686-24200,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp026000755,none,gut of Reticulitermes speratus,d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;x__unclassified Clostridia;s__Clostridia bacterium,14-2 sp026000755,,
2019,GB_GCA_026002595.1,BOBW01000007.1,HDK,"15,16,17",12494-13369,Group 4a,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__BNUT01;s__BNUT01 sp026002595,none,gut of Reticulitermes speratus,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__;f__;g__;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;x__unclassified Spirochaetia;s__Spirochaetia bacterium,BNUT01 sp026002595,,
2020,GB_GCA_026014465.1,JAOZID010000010.1,HDK,"657,658,660",652957-654294,,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__JADGNF01;s__JADGNF01 sp026014465,China: Dayangshan Island in Hangzhou Bay; northern East China Sea,enrichment culture inoculated from coastal sediment with lignin,d__Archaea;p__Candidatus Bathyarchaeota;c__;o__;f__;g__;s__,d__Archaea;x__TACK group;p__Candidatus Bathyarchaeota;x__unclassified Candidatus Bathyarchaeota;s__Candidatus Bathyarchaeota archaeon,JADGNF01 sp026014465,,
